Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Item Weight (lbs),Primary Material,Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link
1,Y,Beverage Cups & Lids,Sleeve,Hot Cup Sleeve,Corrugated Paper,Standard,1000,10.4,Corrugated Cardboard,12.5%,1.30,9.10,0.0091,Corrugated Cardboard,,,0.0091,,Genuine Joe,,http://www.amazon.com/Genuine-Joe-GJO19049PK-Protective-Corrugated/dp/B00CDY0IXA/ref=pd_sim_328_3?ie=UTF8&dpID=4109JzxiYNL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=0MD6JPMJRTGY0H7G1KF0
2,Y,Beverage Cups & Lids,Cold Cup,8 oz Foam Cup,EPS (Polystyrene Foam),8 oz,1000,6.5,Corrugated Cardboard,23.5%,1.53,4.97,0.0050,EPS Foam,,,0.0050,,DART,,http://www.amazon.com/8J8-Bottom-Diameter-Height-White/dp/B00QFKCGGK/ref=sr_1_1?ie=UTF8&qid=1460138651&sr=8-1&keywords=8+oz+foam+cup
3,Y,Beverage Cups & Lids,Cold Cup,12 oz Foam Cup,EPS (Polystyrene Foam),12 oz,1000,10,Corrugated Cardboard,23.5%,2.35,7.65,0.0077,EPS Foam,,,0.0077,,DART,,http://www.amazon.com/12J12-Capacity-Bottom-Diameter-Insulated/dp/B004NG89SC/ref=pd_sim_328_7?ie=UTF8&dpID=31-kIel2aRL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=09YTK56S8DP8RSANNF4G
4,Y,Beverage Cups & Lids,Cold Cup,16 oz Foam Cup,EPS (Polystyrene Foam),16 oz,1000,13.4,Corrugated Cardboard,23.5%,3.15,10.25,0.0103,EPS Foam,,,0.0103,,DART,,http://www.amazon.com/16J16-Bottom-Diameter-Height-Drink/dp/B004EHZ906/ref=sr_1_sc_2?s=industrial&ie=UTF8&qid=1460138895&sr=1-2-spell&keywords=16+oz+datr+foam+cup
5,Y,Beverage Cups & Lids,Hot Cup,8 oz Foam Cup,EPS (Polystyrene Foam),8 oz,1000,6.5,Corrugated Cardboard,23.5%,1.53,4.97,0.0050,EPS Foam,,,0.0050,,DART,,http://www.amazon.com/8J8-Bottom-Diameter-Height-White/dp/B00QFKCGGK/ref=sr_1_1?ie=UTF8&qid=1460138651&sr=8-1&keywords=8+oz+foam+cup
6,Y,Beverage Cups & Lids,Hot Cup,12 oz Foam Cup,EPS (Polystyrene Foam),12 oz,1000,10,Corrugated Cardboard,23.5%,2.35,7.65,0.0077,EPS Foam,,,0.0077,,DART,,http://www.amazon.com/12J12-Capacity-Bottom-Diameter-Insulated/dp/B004NG89SC/ref=pd_sim_328_7?ie=UTF8&dpID=31-kIel2aRL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=09YTK56S8DP8RSANNF4G
7,Y,Beverage Cups & Lids,Hot Cup,16 oz Foam Cup,EPS (Polystyrene Foam),16 oz,1000,13.4,Corrugated Cardboard,23.5%,3.15,10.25,0.0103,EPS Foam,,,0.0103,,DART,,http://www.amazon.com/16J16-Bottom-Diameter-Height-Drink/dp/B004EHZ906/ref=sr_1_sc_2?s=industrial&ie=UTF8&qid=1460138895&sr=1-2-spell&keywords=16+oz+datr+foam+cup
8,Y,Takeout Containers & Lids,Clamshell,3 Compartment clamshell,Foam,"8"" x 8""",200,7.1,Corrugated Cardboard,12.5%,0.89,6.21,0.0311,EPS Foam,,,0.0311,,Dart,,
9,Y,Takeout Containers & Lids,Clamshell,"5.9"" x 6"" Single Compartment Clamshell Container",Foam,"6"" x 6"" ",500,10.1,Corrugated Cardboard,12.5%,1.26,8.84,0.0177,EPS Foam,,,0.0177,,Dart,,http://www.amazon.com/Length-Sandwich-Carryout-Container-125-Pack/dp/B004NG8CJS/ref=pd_sim_328_3?ie=UTF8&dpID=31K018KQkpL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=0EE5G8BVPN5B5D2DM516
10,Y,Condiment Packets,Mustard,Mustard (.2 oz ea),Plastic,Standard,200,2.7,Corrugated Cardboard,12.5%,0.34,2.36,0.0118,Plastic (LDPE),,,0.0118,,Heinz,,http://www.amazon.com/Heinz-Mild-Mustard-200-case/dp/B004HJ0K1E/ref=sr_1_39_s_it?s=grocery&ie=UTF8&qid=1462572187&sr=1-39&keywords=mayonnaise+packets
11,Y,Condiment Packets,Creamer,Individual Creamers (.3 oz ea),Plastic + foil,Standard,180,4.8,Corrugated Cardboard,12.5%,0.60,4.20,0.0233,Plastic (LDPE),Aluminum,20%,0.0187,0.004666666667,Coffee- Mate,,http://www.amazon.com/Coffee-mate-Creamer-Original-0-375-Ounce-Creamers/dp/B00451SGZ6/ref=pd_bxgy_325_img_2?ie=UTF8&refRID=15J543F565RYZG4564DH
12,Y,Condiment Packets,Ketchup,Ketchup (.32 oz ea),Plastic + foil,Standard,200,4.6,Corrugated Cardboard,12.5%,0.58,4.03,0.0201,Plastic (LDPE),Aluminum,20%,0.0161,0.004025,Heinz,,http://www.amazon.com/Heinz-Tomato-Ketchup-0-32-Ounce-Packages/dp/B0025UCAII/ref=sr_1_22_s_it?s=grocery&ie=UTF8&qid=1462571955&sr=1-22&keywords=Mustard+packets
13,Y,Condiment Packets,Mayonaise,Mayonaise (.43 oz ea),Plastic + foil,Standard,50,1.5,Corrugated Cardboard,12.5%,0.19,1.31,0.0263,Plastic (LDPE),Aluminum,20%,0.0210,0.00525,Kraft,,http://www.amazon.com/50-packets-Kraft-portion-control/dp/B003THRYC8/ref=sr_1_2_s_it?s=grocery&ie=UTF8&qid=1462571667&sr=1-2&keywords=mayonnaise+packet
14,Y,Condiment Packets,Soy Sauce,Soy Sauce (.25 fl oz ea),Plastic + foil,Standard,500,10.4,Corrugated Cardboard,12.5%,1.30,9.10,0.0182,Plastic (LDPE),Aluminum,20%,0.0146,0.00364,KIMLAN,,http://www.amazon.com/Kimlan-Soy-Sauce-box-500/dp/B004I0ENP6/ref=sr_1_5_s_it?s=grocery&ie=UTF8&qid=1462572516&sr=1-5&keywords=soy+sauce+packets
15,Y,Plates and Bowls (Dinnerware),Plate,"10 3/8""-Dinner Plate- Molded Fiber",Molded Fiber,"10""",100,5.3,Corrugated Cardboard,12.5%,0.66,4.64,0.0464,Molded Fiber (Paper),Plastic (LDPE),10%,0.0417,0.0046375,Chinet,,http://www.amazon.com/Chinet-Dinner-Plate-100-count-Box/dp/B002YD8GBG/ref=sr_1_5?s=industrial&ie=UTF8&qid=1461958715&sr=1-5&keywords=paper+plates
16,Y,Plates and Bowls (Dinnerware),Plate,"6.75"" Paper Plate",Molded Fiber,"6.75""",210,4,Corrugated Cardboard,12.5%,0.50,3.50,0.0167,Molded Fiber (Paper),Plastic (LDPE),10%,0.0150,0.001666666667,Chinet,,http://www.amazon.com/Chinet-Classic-Dessert-35-Count-Packages/dp/B001F0RCB4/ref=sr_1_6_a_it?ie=UTF8&qid=1461971567&sr=8-6&keywords=6%22+chinet+plate
17,Y,Takeout Containers & Lids,Clamshell,"White 3-Section Clamshell Container, 9"" L x 9"" W",Bagasse,"9"" x 9""",200,24.6,Corrugated Cardboard,12.5%,3.08,21.53,0.1076,Molded Fiber (Plant),,,0.1076,,Southern Champion Tray,,http://www.amazon.com/Southern-Champion-Tray-18930-ChampWare/dp/B010073CY8/ref=sr_1_11?s=industrial&ie=UTF8&qid=1461951716&sr=1-11&keywords=3+compartment+take+out+containers
18,Y,Plates and Bowls (Dinnerware),Bowl,12 oz Fiber Bowl,Wood Pulp and Corn,12 oz,500,13.4,Corrugated Cardboard,12.5%,1.68,11.73,0.0235,Molded Fiber (Plant),,,0.0235,,World Centric,,http://www.amazon.com/World-Centric-Wood-12-Ounce-Barrel/dp/B0038KXXXA/ref=sr_1_20?ie=UTF8&qid=1461972057&sr=8-20&keywords=compostable+bowl
19,Y,Plates and Bowls (Dinnerware),Bowl,Lid for 12 oz Fiber Bowl,Wood Pulp and Corn,12 oz,500,7.7,Corrugated Cardboard,12.5%,0.96,6.74,0.0135,Molded Fiber (Plant),,,0.0135,,World Centric,,http://www.amazon.com/World-Centric-Wood-12-Ounce-Barrel/dp/B0038KXXYY/ref=pd_bxgy_79_img_2?ie=UTF8&refRID=1JAGRBPD6JWDM9H7ZDWY
20,Y,Beverage Cups & Lids,Cold Cup,12 oz Paper Cold Cup,Paper + Poly-coat,12 oz,1000,17,Corrugated Cardboard,12.5%,2.13,14.88,0.0149,Paper,Plastic (LDPE),10%,0.0134,0.0014875,Karat,,http://www.amazon.com/Lollicup-C-KCP12-Coke-Karat-Coca-Cola/dp/B00QPV4GLC/ref=sr_1_4?s=industrial&ie=UTF8&qid=1460146361&sr=1-4&keywords=lollicup+paper+cold+cups
21,Y,Beverage Cups & Lids,Cold Cup,16 oz Paper Cold Cup,Paper + Poly-coat,16 oz,1000,24.3,Corrugated Cardboard,12.5%,3.04,21.26,0.0213,Paper,Plastic (LDPE),10%,0.0191,0.00212625,Karat,,http://www.amazon.com/Lollicup-C-KCP16-Coke-Karat-Coca-Cola/dp/B00QPV4EV4/ref=pd_sbs_328_1?ie=UTF8&dpID=41nOfTf8mNL&dpSrc=sims&preST=_AC_UL320_SR216%2C320_&refRID=01371Q829NWNMVZP96ZD
22,Y,Beverage Cups & Lids,Cold Cup,22 oz Paper Cold Cup,Paper + Poly-coat,22 oz,1000,30.8,Corrugated Cardboard,12.5%,3.85,26.95,0.0270,Paper,Plastic (LDPE),10%,0.0243,0.002695,Karat,,http://www.amazon.com/Lollicup-C-KCP22-Coke-Karat-Coca-Cola/dp/B00QPV49OG/ref=pd_sim_328_3?ie=UTF8&dpID=31YPwp1dRsL&dpSrc=sims&preST=_AC_UL320_SR170%2C320_&refRID=1JVTHP595H07M2TZPZWA
23,Y,Beverage Cups & Lids,Hot Cup,10 oz Compostable Hot Cup,PLA lined paper,10 oz,1000,22.5,Corrugated Cardboard,12.5%,2.81,19.69,0.0197,Paper,Compostable Plastic (PLA),7%,0.0183,0.001378125,World Centric,,http://www.amazon.com/World-Centric-CU-PA-12-K-Compostable-Kraft/dp/B0114EBRQQ/ref=pd_sbs_328_2?ie=UTF8&dpID=41706NNP08L&dpSrc=sims&preST=_AC_UL320_SR260%2C320_&refRID=1ZG586BY50H04Y6E6F81
24,Y,Beverage Cups & Lids,Hot Cup,12 oz Compostable Hot Cup,PLA lined paper,12 oz,1000,25.4,Corrugated Cardboard,12.5%,3.18,22.23,0.0222,Paper,Compostable Plastic (PLA),7%,0.0207,0.00155575,World Centric,,http://www.amazon.com/World-Centric-CU-PA-12-K-Compostable-Kraft/dp/B0114EBRQQ/ref=pd_sbs_328_2?ie=UTF8&dpID=41706NNP08L&dpSrc=sims&preST=_AC_UL320_SR260%2C320_&refRID=1ZG586BY50H04Y6E6F81
25,Y,Beverage Cups & Lids,Hot Cup,16 oz Compostable Hot Cup,PLA lined paper,16 oz,1000,30.8,Corrugated Cardboard,12.5%,3.85,26.95,0.0270,Paper,Compostable Plastic (PLA),7%,0.0251,0.0018865,World Centric,,http://www.amazon.com/World-Centric-CU-PA-12-K-Compostable-Kraft/dp/B0114EBRQQ/ref=pd_sbs_328_2?ie=UTF8&dpID=41706NNP08L&dpSrc=sims&preST=_AC_UL320_SR260%2C320_&refRID=1ZG586BY50H04Y6E6F81
26,Y,Beverage Cups & Lids,Hot Cup,8 oz Hot Cup Paper,Polyethylene lined,8 oz,1000,19.2,Corrugated Cardboard,12.5%,2.40,16.80,0.0168,Paper,Plastic (LDPE),7%,0.0156,0.001176,Solo,,http://www.amazon.com/378W-2050-Single-Sided-Paper-Capacity-White/dp/B0040ZOVHO/ref=pd_sim_328_6?ie=UTF8&dpID=21sZEyELu4L&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=1JD0HMVPWRVAP81Z2Z23
27,Y,Beverage Cups & Lids,Hot Cup,12 oz Hot Cup Paper,Polyethylene lined,12 oz,1000,26,Corrugated Cardboard,12.5%,3.25,22.75,0.0228,Paper,Plastic (LDPE),7%,0.0212,0.0015925,Solo,,http://www.amazon.com/412WN-2050-Single-Sided-Paper-Capacity-White/dp/B0040ZOVTW/ref=lp_8894761011_1_2?srs=8894761011&ie=UTF8&qid=1460148646&sr=8-2
28,Y,Beverage Cups & Lids,Hot Cup,16 oz Hot Cup Paper,Polyethylene lined,16 oz,1000,33.2,Corrugated Cardboard,12.5%,4.15,29.05,0.0291,Paper,Plastic (LDPE),7%,0.0270,0.0020335,Solo,,http://www.amazon.com/316W-2050-White-Paper-Singlepoly-Tubes/dp/B0040ZOUQG/ref=pd_sim_328_2?ie=UTF8&dpID=21n05aOLitL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=0TR94WM2WBHBWC42SQC2
