Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Item Weight (lbs),Primary Material,"MTCO2eq per 1.0 pounds reduced",EF,CO2eq per item (lb),Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link
100,Y,Beverages,Cup,8 oz Glass Cup,Glass,8 oz,12,6.75,Corrugated Cardboard,12.5%,0.84,5.91,$20.99,0.4922,Glass,0.00051709,1.14,0.5611,,,0.4922,,QAPPDA,,https://www.amazon.com/Whiskey-QAPPDA-Drinking-Cocktail-Restaurants/dp/B0868H7YBJ/ref=sr_1_2?crid=135Z5IM9R48X&keywords=8%2Boz%2Bglass%2Bcups%2Brestaurant&qid=1702007055&sprefix=oz%2Bglass%2Bcups%2Brestaurant%2Caps%2C266&sr=8-2&th=1
101,Y,Beverages,Cup,12 oz Glass Cup,Glass,12 oz,6,5.67,Corrugated Cardboard,12.5%,0.71,4.96,$14.99,0.8269,Glass,0.00051709,1.14,0.9426,,,0.8269,,Maredash,,https://www.amazon.com/Glass-Coffee%EF%BC%8C12-OZ-Old-Fashioned-Cups%EF%BC%8CCups-Cocktails/dp/B094CQ34NW/ref=sr_1_6?crid=3M01PR801Z72L&keywords=12%2Boz%2Bglass%2Bcups%2Brestaurant&qid=1702007278&sprefix=12%2Boz%2Bglass%2Bcups%2Brestaurant%2Caps%2C152&sr=8-6&th=1
102,Y,Beverages,Cup,16 oz Glass Cup,Glass,16 oz,12,13.264,Corrugated Cardboard,12.5%,1.66,11.61,$38.99,0.9672,Glass,0.00051709,1.14,1.1026,,,0.9672,,Kitchen Lux,,https://www.amazon.com/Clear-Glass-Beer-Cups-Restaurants/dp/B07L8ML51K/ref=sr_1_3?crid=6F38ULC6HNVQ&keywords=16%2Boz%2Bglass%2Bcups%2Brestaurant&qid=1699845786&sprefix=16%2Boz%2Bglass%2Bcups%2Brestauran%2Caps%2C159&sr=8-3&th=1
103,Y,Beverages,Mug,8 oz Ceramic Mug,Ceramic,8 oz,36,33.75,Corrugated Cardboard,12.5%,4.22,29.53,$45.02,0.8203,Ceramic,0.00144242,3.18,2.6086,,,0.8203,,Acopa,,https://www.webstaurantstore.com/acopa-8-oz-ivory-american-white-rolled-edge-stoneware-mug-case/303TM8.html
104,Y,Beverages,Mug,12 oz Ceramic Mug,Ceramic,12 oz,36,44.66,Corrugated Cardboard,12.5%,5.58,39.08,$67.92,1.0855,Ceramic,0.00144242,3.18,3.4518,,,1.0855,,Acopa,,https://www.webstaurantstore.com/acopa-8-oz-ivory-american-white-rolled-edge-stoneware-mug-case/303TM8.html
105,Y,Beverages,Mug,16 oz Ceramic Mug,Ceramic,16 oz,6,6.829,Corrugated Cardboard,12.5%,0.85,5.98,$41.99,0.9959,Ceramic,0.00144242,3.18,3.1669,,,0.9959,,Jucoan,,https://www.amazon.com/Jucoan-Porcelain-Ceramic-Restaurant-Cappuccino/dp/B0B1DN8CPY/ref=sr_1_4?crid=1QQWSZS7EO6TL&keywords=16+oz+restaurant+coffee+mugs&qid=1699844714&sprefix=16+oz+restaurant+coffee+mugs%2Caps%2C170&sr=8-4
106,Y,Beverages,Mug,8 oz Melamine Mug,Melamine,8 oz,24,7.7,Corrugated Cardboard,12.5%,0.96,6.74,$72.49,0.2807,Melamine,0.00140863,3.1055,0.8718,,,0.2807,,GET Enterprises,,https://www.webstaurantstore.com/get-c-107-iv-diamond-ivory-8-oz-mug-case/375C107IV.html
107,Y,Beverages,Mug,12 oz Melamine Mug,Melamine,12 oz,24,11.55,Corrugated Cardboard,12.5%,1.44,10.11,$72.49,0.4211,Melamine,0.00140863,3.1055,1.3077,,,0.4211,,GET Enterprises,,https://www.webstaurantstore.com/get-c-107-iv-diamond-ivory-8-oz-mug-case/375C107IV.html
108,Y,Beverages,Mug,16 oz Melamine Mug,Melamine,16 oz,24,15.4,Corrugated Cardboard,12.5%,1.93,13.48,$72.49,0.5615,Melamine,0.00140863,3.1055,1.7436,,,0.5615,,GET Enterprises,,https://www.webstaurantstore.com/get-c-107-iv-diamond-ivory-8-oz-mug-case/375C107IV.html
109,Y,Beverages,Cup,8 oz Stainless Steel Cup,Stainless Steel,8 oz,1,0.177,Corrugated Cardboard,12.5%,0.02,0.15,$21.99,0.1549,Stainless Steel,0.00175540,3.87,0.5994,,,0.1549,,Resinta,,https://www.amazon.com/Ruisita-Stainless-Shatterproof-Drinking-Glasses/dp/B07P5YPRLB?th=1
