Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,dishcatid ,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Unit Price ($),Item Weight (lbs),Item Weight (tons),Primary Material,,,,Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link,,,,,,,,,
100,Y,Beverages,Cup,8 oz Glass Cup,8,Glass,8 oz,12,6.75,Corrugated Cardboard,12.5%,0.84,5.91,$2.28,$0.19,0.4922,0.0002,Glass,,,,,,0.4922,,"Guangzhou Yongli Glassware And Ceramic Co., Ltd.",,https://www.alibaba.com/product-detail/Wholesale-Cheap-8oz-Beer-Glass-Cup_1601104473372.html?spm=a2700.galleryofferlist.normal_offer.d_title.4bb213a0yPAFx9,,,,,,,,,
101,Y,Beverages,Cup,12 oz Glass Cup,8,Glass,12 oz,6,5.67,Corrugated Cardboard,12.5%,0.71,4.96,$3.84,$0.64,0.8269,0.0004,Glass,,,,,,0.8269,,"Huailai Golden Glass Co., Ltd.",,https://www.alibaba.com/product-detail/12oz-Reusable-Custom-Design-Dishwasher-Available_1601122847848.html?spm=a2700.galleryofferlist.d_title.i0.640313a0avwflr,,,,,,,,,
102,Y,Beverages,Cup,16 oz Glass Cup,8,Glass,16 oz,12,13.264,Corrugated Cardboard,12.5%,1.66,11.61,$3.84,$0.32,0.9672,0.0005,Glass,,,,,,0.9672,,"Guangzhou Yibao International Trading Co., Ltd.",,https://www.alibaba.com/product-detail/16-oz-American-Style-Round-Pint_1601280756779.html?spm=a2700.galleryofferlist.p_offer.d_title.2b5b13a0dyAMAg&s=p,,,,,,,,,
103,Y,Beverages,Mug,8 oz Ceramic Mug ,7,Ceramic ,8 oz,36,33.75,Corrugated Cardboard,12.5%,4.22,29.53,$45.02,$1.25,0.8203,0.0004,Ceramic ,,,,,,0.8203,,Acopa,,https://www.webstaurantstore.com/acopa-8-oz-ivory-american-white-rolled-edge-stoneware-mug-case/303TM8.html,,,,,,,,,20
104,Y,Beverages,Mug,12 oz Ceramic Mug ,7,Ceramic ,12 oz,36,44.66,Corrugated Cardboard,12.5%,5.58,39.08,$67.92,$1.89,1.0855,0.0005,Ceramic ,,,,,,1.0855,,Acopa,,https://www.webstaurantstore.com/acopa-8-oz-ivory-american-white-rolled-edge-stoneware-mug-case/303TM8.html,,,,,,,,,18500
105,Y,Beverages,Mug,16 oz Ceramic Mug ,7,Ceramic ,16 oz,6,6.829,Corrugated Cardboard,12.5%,0.85,5.98,$41.99,$7.00,0.9959,0.0005,Ceramic ,,,,,,0.9959,,Jucoan,,https://www.amazon.com/Jucoan-Porcelain-Ceramic-Restaurant-Cappuccino/dp/B0B1DN8CPY/ref=sr_1_4?crid=1QQWSZS7EO6TL&keywords=16+oz+restaurant+coffee+mugs&qid=1699844714&sprefix=16+oz+restaurant+coffee+mugs%2Caps%2C170&sr=8-4,,,,,,,,,
106,Y,Beverages,Mug,8 oz Melamine  Mug ,7,Melamine ,8 oz,24,7.7,Corrugated Cardboard,12.5%,0.96,6.74,$72.49,$3.02,0.2807,0.0001,Melamine ,,,,,,0.2807,,GET Enterprises,,https://www.webstaurantstore.com/get-c-107-iv-diamond-ivory-8-oz-mug-case/375C107IV.html,,,,,,,,,
107,Y,Beverages,Mug,12 oz Melamine  Mug ,7,Melamine ,12 oz,24,11.55,Corrugated Cardboard,12.5%,1.44,10.11,$72.49,$3.02,0.4211,0.0002,Melamine ,,,,,,0.4211,,GET Enterprises,,https://www.webstaurantstore.com/get-c-107-iv-diamond-ivory-8-oz-mug-case/375C107IV.html,,,,,,,,,
108,Y,Beverages,Mug,16 oz Melamine  Mug ,7,Melamine ,16 oz,24,15.4,Corrugated Cardboard,12.5%,1.93,13.48,$72.49,$3.02,0.5615,0.0003,Melamine ,,,,,,0.5615,,GET Enterprises,,https://www.webstaurantstore.com/get-c-107-iv-diamond-ivory-8-oz-mug-case/375C107IV.html,,,,,,,,,
109,Y,Beverages,Cup,8 oz Stainless Steel Cup,8,Stainless Steel ,8 oz,1,0.177,Corrugated Cardboard,12.5%,0.02,0.15,$21.99,$21.99,0.1549,0.0001,Stainless Steel ,,,,,,0.1549,,Resinta,,https://www.amazon.com/Ruisita-Stainless-Shatterproof-Drinking-Glasses/dp/B07P5YPRLB?th=1,,,,,,,,,
110,Y,Beverages,Cup,12 oz Stainless Steel Cup,8,Stainless Steel ,12 oz,1,0.236,Corrugated Cardboard,12.5%,0.03,0.21,$21.99,$21.99,0.2065,0.0001,Stainless Steel ,,,,,,0.2065,,Vollrath,,https://www.webstaurantstore.com/vollrath-68520-12-oz-stainless-steel-tumbler/92268520.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiA98WrBhAYEiwA2WvhOgiTvo2hOzSTsWqv7mR1BjsHCideg60_Vc8W1eIS14o7_DRbvf9jgxoCvUIQAvD_BwE,,,,,,,,,
111,Y,Beverages,Cup,16 oz Stainless Steel Cup,8,Stainless Steel ,16 oz,1,0.354,Corrugated Cardboard,12.5%,0.04,0.31,$38.99,$38.99,0.3098,0.0002,Stainless Steel ,,,,,,0.3098,,SMLIXE,,https://www.amazon.com/SMLIXE-Stainless-Unbreakable-Stackable-Drinking/dp/B08Z3FB4M3/ref=sr_1_1_sspa?crid=2INH3XDJV8BBZ&keywords=stainless%2Bsteel%2Bcup&qid=1699844328&sprefix=stainless%2Bsteel%2Bcup%2Caps%2C182&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,,,,,,,,
